Price,Close
Ticker,GLTR
Date,
2024-06-26,101.62999725341797
2024-06-27,102.5
2024-06-28,102.9800033569336
2024-07-01,103.16000366210938
2024-07-02,103.7300033569336
2024-07-03,105.43000030517578
2024-07-05,107.12000274658203
2024-07-08,105.58000183105469
2024-07-09,105.6500015258789
2024-07-10,106.02999877929688
2024-07-11,107.7699966430664
2024-07-12,106.9000015258789
2024-07-15,106.95999908447266
2024-07-16,108.9800033569336
2024-07-17,107.47000122070312
2024-07-18,106.41999816894531
2024-07-19,104.52999877929688
2024-07-22,104.41999816894531
2024-07-23,104.69999694824219
2024-07-24,104.29000091552734
2024-07-25,101.94999694824219
2024-07-26,102.5199966430664
2024-07-29,102.56999969482422
2024-07-30,103.6500015258789
2024-07-31,105.55999755859375
2024-08-01,104.87999725341797
2024-08-02,104.5999984741211
2024-08-05,101.9800033569336
2024-08-06,101.44000244140625
2024-08-07,101.05999755859375
2024-08-08,102.98999786376953
2024-08-09,103.1500015258789
2024-08-12,105.05000305175781
2024-08-13,104.91000366210938
2024-08-14,103.91000366210938
2024-08-15,105.12000274658203
2024-08-16,107.2699966430664
2024-08-19,107.63999938964844
2024-08-20,107.86000061035156
2024-08-21,108.04000091552734
2024-08-22,106.45999908447266
2024-08-23,108.25
2024-08-26,108.62999725341797
2024-08-27,108.95999908447266
2024-08-28,107.41999816894531
2024-08-29,108.16999816894531
2024-08-30,106.98999786376953
2024-09-03,105.79000091552734
2024-09-04,105.8499984741211
2024-09-05,107.12999725341797
2024-09-06,105.66999816894531
2024-09-09,106.33999633789062
2024-09-10,107.08000183105469
2024-09-11,107.3499984741211
2024-09-12,110.23999786376953
2024-09-13,111.9000015258789
2024-09-16,111.91999816894531
2024-09-17,111.70999908447266
2024-09-18,109.97000122070312
2024-09-19,112.16999816894531
2024-09-20,113.31999969482422
2024-09-23,112.75
2024-09-24,115.48999786376953
2024-09-25,114.9800033569336
2024-09-26,115.69000244140625
2024-09-27,114.44999694824219
2024-09-30,113.29000091552734
2024-10-01,114.22000122070312
2024-10-02,114.76000213623047
2024-10-03,114.87000274658203
2024-10-04,114.9800033569336
2024-10-07,114.25
2024-10-08,112.52999877929688
2024-10-09,112.12999725341797
2024-10-10,113.5
2024-10-11,114.81999969482422
2024-10-14,114.08999633789062
2024-10-15,114.4000015258789
2024-10-16,115.16000366210938
2024-10-17,115.7300033569336
2024-10-18,118.75
2024-10-21,118.7300033569336
2024-10-22,120.77999877929688
2024-10-23,118.58999633789062
2024-10-24,119.69000244140625
2024-10-25,119.93000030517578
2024-10-28,120.2699966430664
2024-10-29,121.76000213623047
2024-10-30,121.0199966430664
2024-10-31,118.61000061035156
2024-11-01,117.87999725341797
2024-11-04,118.0
2024-11-05,118.22000122070312
2024-11-06,114.31999969482422
2024-11-07,116.23999786376953
2024-11-08,114.6500015258789
2024-11-11,112.33000183105469
2024-11-12,111.55000305175781
2024-11-13,110.06999969482422
2024-11-14,110.30000305175781
2024-11-15,109.94000244140625
2024-11-18,112.55000305175781
2024-11-19,113.55000305175781
2024-11-20,113.38999938964844
2024-11-21,113.9800033569336
2024-11-22,115.27999877929688
2024-11-25,111.93000030517578
2024-11-26,112.08999633789062
2024-11-27,111.83999633789062
2024-11-29,113.25
2024-12-02,112.23999786376953
2024-12-03,113.02999877929688
