Price,Close
Ticker,XLV
Date,
2024-06-26,141.20042419433594
2024-06-27,140.96847534179688
2024-06-28,140.85250854492188
2024-07-01,140.06005859375
2024-07-02,139.54786682128906
2024-07-03,138.48486328125
2024-07-05,139.5575714111328
2024-07-08,139.40293884277344
2024-07-09,140.0793914794922
2024-07-10,141.4033660888672
2024-07-11,142.39877319335938
2024-07-12,143.28785705566406
2024-07-15,142.78530883789062
2024-07-16,144.82444763183594
2024-07-17,145.4815673828125
2024-07-18,142.17649841308594
2024-07-19,142.9012908935547
2024-07-22,143.72271728515625
2024-07-23,143.6357421875
2024-07-24,144.83409118652344
2024-07-25,144.10928344726562
2024-07-26,144.92105102539062
2024-07-29,145.00802612304688
2024-07-30,145.1336669921875
2024-07-31,144.60214233398438
2024-08-01,146.0807342529297
2024-08-02,145.79080200195312
2024-08-05,141.89625549316406
2024-08-06,142.55337524414062
2024-08-07,141.10377502441406
2024-08-08,144.2252655029297
2024-08-09,144.94036865234375
2024-08-12,144.38954162597656
2024-08-13,146.13873291015625
2024-08-14,146.66055297851562
2024-08-15,147.57867431640625
2024-08-16,147.7332763671875
2024-08-19,148.63204956054688
2024-08-20,149.231201171875
2024-08-21,149.4824676513672
2024-08-22,149.57908630371094
2024-08-23,150.22659301757812
2024-08-26,150.14927673339844
2024-08-27,150.38121032714844
2024-08-28,150.55514526367188
2024-08-29,150.87408447265625
2024-08-30,151.9177703857422
2024-09-03,151.62786865234375
2024-09-04,151.36692810058594
2024-09-05,149.28916931152344
2024-09-06,148.7769775390625
2024-09-09,149.82069396972656
2024-09-10,150.50685119628906
2024-09-11,150.06228637695312
2024-09-12,150.6034698486328
2024-09-13,150.91273498535156
2024-09-16,151.95643615722656
2024-09-17,150.39085388183594
2024-09-18,150.13958740234375
2024-09-19,150.6807861328125
2024-09-20,150.06228637695312
2024-09-23,149.7683868408203
2024-09-24,149.46768188476562
2024-09-25,148.01268005371094
2024-09-26,148.50738525390625
2024-09-27,148.42979431152344
2024-09-30,149.39979553222656
2024-10-01,148.6140899658203
2024-10-02,148.31336975097656
2024-10-03,146.9747772216797
2024-10-04,147.09117126464844
2024-10-07,146.44125366210938
2024-10-08,147.23666381835938
2024-10-09,148.74017333984375
2024-10-10,148.18727111816406
2024-10-11,149.27366638183594
2024-10-14,150.0981903076172
2024-10-15,148.26487731933594
2024-10-16,148.68197631835938
2024-10-17,147.8186798095703
2024-10-18,148.53646850585938
2024-10-21,146.7904815673828
2024-10-22,146.57708740234375
2024-10-23,145.8883819580078
2024-10-24,144.92807006835938
2024-10-25,144.13265991210938
2024-10-28,144.34605407714844
2024-10-29,143.94834899902344
2024-10-30,143.67677307128906
2024-10-31,142.46426391601562
2024-11-01,143.3081817626953
2024-11-04,142.3672637939453
2024-11-05,143.4148712158203
2024-11-06,143.59915161132812
2024-11-07,144.63706970214844
2024-11-08,145.6749725341797
2024-11-11,144.8213653564453
2024-11-12,142.8037872314453
2024-11-13,142.42547607421875
2024-11-14,140.18478393554688
2024-11-15,137.58514404296875
2024-11-18,137.68215942382812
2024-11-19,136.97406005859375
2024-11-20,138.59396362304688
2024-11-21,139.70944213867188
2024-11-22,139.83555603027344
2024-11-25,141.02867126464844
2024-11-26,141.78526306152344
2024-11-27,142.5418701171875
2024-11-29,142.98806762695312
2024-12-02,142.73587036132812
2024-12-03,142.415771484375
2024-12-04,142.3381805419922
2024-12-05,140.74737548828125
2024-12-06,139.95196533203125
2024-12-09,140.35935974121094
2024-12-10,139.77735900878906
2024-12-11,137.8761749267578
2024-12-12,136.78004455566406
2024-12-13,136.7606658935547
2024-12-16,135.1310272216797
2024-12-17,135.0340576171875
2024-12-18,133.20074462890625
2024-12-19,132.1919403076172
2024-12-20,133.86036682128906
2024-12-23,135.19720458984375
2024-12-24,135.75262451171875
2024-12-26,136.0254364013672
2024-12-27,135.39208984375
2024-12-30,133.7258758544922
2024-12-31,134.0474090576172
2025-01-02,134.08641052246094
2025-01-03,135.40182495117188
2025-01-06,135.46029663085938
2025-01-07,136.13262939453125
2025-01-08,136.83419799804688
2025-01-10,136.0644073486328
2025-01-13,137.8378448486328
2025-01-14,136.41522216796875
2025-01-15,136.97061157226562
2025-01-16,137.5162811279297
2025-01-17,136.59060668945312
2025-01-21,138.8511962890625
2025-01-22,138.5393524169922
2025-01-23,140.39076232910156
2025-01-24,140.61485290527344
2025-01-27,143.77188110351562
2025-01-28,142.7682647705078
2025-01-29,141.93028259277344
2025-01-30,143.5672607421875
2025-01-31,143.1092987060547
2025-02-03,143.66470336914062
2025-02-04,143.27493286132812
2025-02-05,144.64883422851562
2025-02-06,143.35287475585938
2025-02-07,142.68055725097656
2025-02-10,142.55389404296875
2025-02-11,142.29080200195312
2025-02-12,142.08619689941406
2025-02-13,142.64158630371094
2025-02-14,141.09228515625
2025-02-18,140.81947326660156
2025-02-19,142.6513214111328
2025-02-20,143.45033264160156
2025-02-21,142.68055725097656
2025-02-24,143.840087890625
2025-02-25,145.07757568359375
2025-02-26,144.03497314453125
2025-02-27,143.45033264160156
2025-02-28,145.11654663085938
2025-03-03,145.74990844726562
2025-03-04,144.3955078125
2025-03-05,145.84735107421875
2025-03-06,145.44784545898438
2025-03-07,145.45758056640625
2025-03-10,143.88880920410156
2025-03-11,142.3200225830078
2025-03-12,140.89744567871094
2025-03-13,140.1471405029297
2025-03-14,141.21896362304688
2025-03-17,143.01187133789062
2025-03-18,143.08006286621094
2025-03-19,143.15802001953125
2025-03-20,143.24569702148438
2025-03-21,142.84622192382812
2025-03-24,143.93685913085938
2025-03-25,142.09791564941406
2025-03-26,141.57948303222656
2025-03-27,141.80447387695312
2025-03-28,141.36428833007812
2025-03-31,142.82176208496094
2025-04-01,140.2100372314453
2025-04-02,141.1490936279297
2025-04-03,140.004638671875
2025-04-04,132.3260498046875
